datetime,Open,High,Low,Close,Volume
2022-11-16,16888.30000,17007.40000,16358.00000,16650.60000,537241.64500
2022-11-17,16650.70000,16741.70000,16403.30000,16682.10000,408989.28500
2022-11-18,16682.10000,16984.40000,16541.10000,16689.70000,388612.84200
2022-11-19,16689.70000,16814.50000,16543.80000,16692.90000,171822.91500
2022-11-20,16693.00000,16743.90000,16167.10000,16272.60000,327599.21400
2022-11-21,16272.70000,16304.30000,15443.20000,15773.00000,790219.36500
2022-11-22,15772.90000,16309.00000,15610.30000,16220.60000,579333.64400
2022-11-23,16220.50000,16703.40000,16155.50000,16595.80000,546714.91000
2022-11-24,16595.80000,16800.00000,16450.00000,16592.40000,351024.41800
2022-11-25,16592.50000,16639.90000,16331.70000,16516.10000,306560.11600
2022-11-26,16516.20000,16699.10000,16369.10000,16449.20000,253401.65900
2022-11-27,16449.20000,16594.20000,16396.00000,16422.60000,189370.34500
2022-11-28,16422.50000,16475.00000,15984.10000,16204.50000,497137.86900
2022-11-29,16204.60000,16543.00000,16088.00000,16433.20000,391410.85400
2022-11-30,16433.30000,17248.30000,16421.50000,17153.30000,620324.95000
2022-12-01,17153.40000,17348.50000,16851.20000,16970.50000,411051.30900
2022-12-02,16970.50000,17096.30000,16760.00000,17083.00000,335039.21500
2022-12-03,17083.00000,17160.00000,16850.10000,16879.50000,185257.24200
2022-12-04,16879.50000,17206.20000,16874.10000,17099.50000,292090.86800
2022-12-05,17099.50000,17430.00000,16860.60000,16958.30000,519961.39000
2022-12-06,16958.20000,17100.00000,16899.90000,17078.60000,321330.61300
2022-12-07,17078.70000,17130.00000,16655.00000,16828.00000,337778.92500
2022-12-08,16828.00000,17294.90000,16710.40000,17216.00000,402157.33500
2022-12-09,17216.00000,17365.40000,17052.00000,17122.00000,290231.18300
2022-12-10,17122.00000,17228.60000,17081.00000,17120.00000,141895.20700
2022-12-11,17120.10000,17265.00000,17060.00000,17077.30000,171004.11100
2022-12-12,17077.30000,17237.90000,16865.00000,17200.00000,335856.25800
2022-12-13,17200.00000,18100.00000,17076.00000,17777.10000,596851.29100
2022-12-14,17777.10000,18400.00000,17659.40000,17803.90000,627511.69900
2022-12-15,17804.00000,17849.50000,17258.00000,17351.80000,437284.03700
2022-12-16,17351.90000,17528.00000,16521.10000,16624.10000,622150.24500
2022-12-17,16624.10000,16790.00000,16571.80000,16768.00000,248465.27300
2022-12-18,16768.10000,16872.00000,16656.00000,16730.30000,185898.21300
2022-12-19,16730.40000,16809.60000,16210.00000,16429.20000,344728.55200
2022-12-20,16429.20000,17049.60000,16390.30000,16887.20000,476171.09800
2022-12-21,16887.30000,16924.20000,16694.20000,16819.60000,227752.33500
2022-12-22,16819.70000,16861.90000,16556.10000,16815.50000,306610.96100
